,ID,ETL_DATE,ENTID,NAME,ADDRESS,CODE1,CODE2,ISURBAN,ISBOARD,HAVEBOND,HAVEBOND2,ISBAD,M001,M002,M003,M004,M005,M006,M010,M011,M012,M013,M015,M020,M021,M022,M023,M024,M025,M026,F005,F015,F022,F024,F031,F037,F039,F044,DATA_DATE
441,1194972,2020-10-15 22:36:56,6F274BC7D52C7C57E0539601A8C0ACD65,北京市首都公路发展集团有限公司,北京市丰台区六里桥南里甲9号,91110000700221058P,700221058,1,0,1,1,,,,,,,,,115.0,,0.0,0.0,1.0,,,,,,,2.0774,81.7708,0.4803,0.4203,0.2971,1.9545,1.5751,12.0027,2018-06-29
442,1194973,2020-10-15 22:36:56,6F274BC7E2D57C57E0539601A8C0ACD65,二六三网络通信股份有限公司,北京市昌平区城区镇超前路13号,91110000700347267E,700347267,0,1,0,0,,-0.635017,-0.320802,-0.291503,-0.241958,-0.157076,,,,,,,,-0.116534,3.62136,2.77974,-0.219211,3.94508,1.9,90.7665,7.289,7.1389,0.1691,0.0083,-1.3309,37.9353,0.0211,2018-06-29
443,1194974,2020-10-15 22:36:56,6F274BC7E71C7C57E0539601A8C0ACD65,世纪金源投资集团有限公司,北京市海淀区远大路1号金源时代购物中心650号,91110108726361876L,726361876,0,0,1,1,,,,,,,,,85.0,-1.0,4.0,0.0,0.0,,,,,,,5.1925,3.4783,3.2619,0.4706,0.2096,2.3158,1.2232,45.1379,2018-06-29
444,1194975,2020-10-15 22:36:56,6F274BC7EDC87C57E0539601A8C0ACD65,北京歌华文化发展集团有限公司,北京市东城区东内北小街青龙胡同1号,91110000101267513W,101267513,0,0,1,1,,,,,,,,,95.0,,0.0,0.0,0.0,,,,,,,2.2903,17.182,2.9141,2.4048,0.2671,2.3288,1.0045,12.4017,2018-06-29
445,1194976,2020-10-15 22:36:56,6F274BC7F5B87C57E0539601A8C0ACD65,北京银建投资公司,北京市石景山区石府路甲2号,91110107102055547H,102055547,0,0,1,1,,,,,,,,,95.0,,0.0,0.0,0.0,,,,,,,10.994,44.1812,0.7612,0.3338,0.2279,2.9512,1.0159,-13.3103,2018-06-29
446,1194977,2020-10-15 22:36:56,6F274BC80A497C57E0539601A8C0ACD65,首钢集团有限公司,北京市石景山区石景山路,911100001011200015,101120001,1,0,1,1,,,,,,,,,105.0,,0.0,0.0,0.0,,,,,,,2.173,48.3809,0.0988,0.0288,0.5095,0.1664,0.2706,37.7503,2018-06-29
447,1194978,2020-10-15 22:36:56,6F274BC817F37C57E0539601A8C0ACD65,北京东方园林环境股份有限公司,北京市朝阳区酒仙桥北路甲10号院104号楼6层601号,91110000102116928R,102116928,0,1,1,1,20190212,-0.361783,-0.120538,-0.254834,-0.248876,0.0,32.0,,90.0,,177.0,6.0,0.0,-0.0318963,2.84119,1.1791,-0.221687,2.56624,0.92818,8.1374,3.1271,0.5334,0.192,0.224,2.0272,0.6209,77.792,2018-06-29
448,1194979,2020-10-15 22:36:56,6F274BC81E317C57E0539601A8C0ACD65,北京汽车集团有限公司,北京市顺义区双河大街99号,911100001011596199,101159619,0,0,1,1,,,,,,,,,110.0,,0.0,0.0,0.0,,,,,,,10.2951,23.8386,0.272,0.0547,0.3293,-0.1513,0.8628,22.9281,2018-06-29
449,1194980,2020-10-15 22:36:56,6F274BC820807C57E0539601A8C0ACD65,北京星网宇达科技股份有限公司,北京市北京经济技术开发区科谷二街6号院1号楼7层,91110108776399733W,776399733,0,1,0,0,,,-0.0838574,0.125874,0.0714536,0.193989,,,,,,,,0.0111837,4.15858,4.32626,0.167453,4.79979,4.41255,91.2012,14.581,-0.3828,-0.1352,0.1416,48.6248,1.5656,47.6422,2018-06-29
450,1194981,2020-10-15 22:36:56,6F274BC8296F7C57E0539601A8C0ACD65,中广有线信息网络有限公司,北京市海淀区西三环中路11号B-01,91110108101446183L,101446183,0,0,1,0,,,,,,,,,95.0,,0.0,0.0,0.0,,,,,,,12.3067,52.2893,1.5892,0.68,0.1776,-5.527,3.9263,-4.592,2018-06-29
