FE;EBITA;OCF;MC;FS
27.458;38.354;-7.631;0.762528444;0
22.422;50.638;13.585;-0.017613276;0
23.625;45.712;4.731;0.382693906;0
52.315;13.621;6.21;-0.585311693;0
27.291;0;0;1.172955269;0
0.5;0.193;0.715;-0.993960604;0
4.385;3.845;2.267;0.241517353;0
2.895;4.273;1.49;0.392929582;0
3.431;5.863;-3.986;0.09253918;0
3.034;6.181;5.26;-0.150507916;0
1.403;2.191;-0.852;-0.124272733;0
0.868;3.248;0.158;-0.204797069;0
1.584;-3.93;3.213;1.199965743;0
1.355;-1.861;-0.014;-0.797098558;0
1.807;-0.225;-2.319;1.058544574;0
0.848;-0.329;-0.427;-0.863444885;0
0.11;1.454;0.292;1.584297317;0
1.97;-1.213;1.534;-0.254520514;0
3.15;1.899;0.278;2.360691583;0
0.7;2.431;2.315;1.059584801;0
0;6.072;3.286;2.315012472;0
0;6.139;7.978;-0.166271337;0
0;2.658;2.623;-0.472875131;0
0;-2.665;-4.057;-0.764816316;0
0;4.171;5.569;3.244825244;0
0;0.183;-3.103;-0.422777822;0
0;0.759;-0.142;-0.388436516;0
0.018;4.248;4.604;0.530210007;0
0;3.116;1.99;1.012468579;0
0;3.713;3.971;0.432298292;0
0;2.344;-2.936;-0.175202159;0
0;5.227;10.721;0.205056955;0
0;-0.159;-2.286;-0.256606653;0
0.232;2.944;1.54;0.465341436;0
0.375;4.027;3.656;-0.12131862;0
0.653;6.421;6.249;1.201817188;0
1.65;8.552;5.293;-0.275547307;0
0.064;15.234;11.233;0.721346004;0
0.071;15.081;15.787;0.177657358;0
0;11.98;12.293;-0.6;0
0;14.034;18.599;0.47826087;0
0;19.606;16.142;0.647058824;0
1;-5.784;-23.555;-0.442857143;0
0;7.787;18.694;-0.326923077;0
0;14.893;9.093;1.580952381;0
0;20.537;2.49;0.301845018;0
0;26.071;18.282;0.29478458;0
0;24.452;28.015;0.318301226;0
0;23.213;9.201;-0.146462969;0
0;1.899;13.639;-0.338521401;0
0;16.721;22.285;0.297058824;0
0;24.363;36.928;0.10276644;0
0;48.87;55.815;0.197195262;0
0;62.56;54.494;0.204699255;0
0;56.651;43.976;0.953236384;0
0;31.568;47.133;-0.27080292;0
0;21.358;25.477;-0.231231231;0
0;24.846;6.944;0.032552083;0
0.338;15.101;26.096;0.097099622;0
0.182;11.706;8.24;-0.119865292;0
0.093;18.273;13.326;0.899133721;0
2.032;20.818;14.73;-0.007331768;0
1.179;0.362;-0.008;-1;0
0.498;1.802;1.679;-0.091986996;0
0.146;2.349;1.144;-0.047443799;0
0.054;2.085;2.916;0.394416515;0
0.038;4.102;3.286;0.659161277;0
0.387;4.857;2.02;0.354189197;0
4.248;1.55;-1.193;-0.333333333;0
3.201;2.004;2.72;0.25;0
3.369;0.087;1.392;-0.466666667;0
5.884;1.905;-1.421;0.375;0
6.362;-0.738;1.017;-0.181818182;0
7.073;1.329;0.522;0.444444444;0
7.198;2.522;1.008;0.442307692;0
3.726;1.065;4.646;0.103949843;0
7.025;2.005;-2.595;0;0
2.146;2.269;3.915;0.86;0
0.622;4.119;5.255;0.827956989;0
0.859;-0.346;1.056;-0.356979405;0
46.743;422.258;388.7;0.087419269;0
52.199;480.12;456.228;0.026130228;0
60.354;729.123;573.173;0.446477761;0
56.931;610.778;611.898;-0.27340845;0
42.363;88.03;73.237;1.054250249;0
72.965;303.812;398.815;-0.287917709;0
151.581;303.879;144.413;0.672359382;0
47.626;232.834;259.92;0.019649984;0
129.57;1467.806;1205.552;0.008667277;0
331.698;660.815;167.645;0.244608443;0
161.689;-96.642;-88.91;-0.587871247;0
193.266;748.386;295.586;1.344828538;0
230.828;1451.517;1086.521;0.652897766;0
43.224;1466.999;1482.855;0.544978305;0
125;1238;1287;-0.164752413;0
238;94;-310;-0.591697398;0
372;255;-692;-0.710574257;0
479;615;473;3.93772426;0
233;809;-412;-0.139846165;0
489;741;382;-0.325355203;0
5;224;-338;-0.546004457;0
60;242;-148;0.63963885;0
177;278;-98;-0.261545041;0
230;-222;-226;0.097069385;0
0;-59;90;3.664634146;0
70;229;68;-0.062448953;0
5.953;172.103;84.356;2.804890976;0
8.543;278.153;151.27;0.932677176;0
5.996;340.772;261.389;0.078528323;0
1112.853;987.313;615.68;1.195248946;0
22.424;1199.355;798.118;2.386315163;0
10.605;2019.327;1318.236;0.192326005;0
4756;4950;4085;3.789110857;0
5015;12234;11005;0.145305076;0
7200;8754;5330;-1;0
885;4033;1200;-0.990891598;0
330;3555;3962;-0.989054114;0
24;2133;190;1549.08073;1
12.395;0.608;0.025;-0.571428571;0
8.771;0.538;0.093;-0.666666667;0
12.145;0.011;0.415;1.5;0
0.388;-2.733;-3.936;18.20068591;0
0.376;-0.962;-0.216;-0.166666667;0
0.935;-0.893;-0.996;-0.428571429;0
0.127;-0.905;-1.642;-0.65;0
15.074;-0.377;-0.358;-0.785714286;0
15.072;-0.169;-0.244;-0.333333333;0
15.046;0.004;-0.086;0;0
14.923;-0.637;-0.185;0.6;0
116.505;-4.839;-1.316;-0.304847503;0
38.917;24.535;-0.163;0.42300763;0
43.101;38.559;25.902;1.427400236;0
53.083;94.23;63.863;9.53784065;0
51.323;75.246;27.699;-0.382413383;0
131.274;50.972;16.901;-0.088690643;0
76.837;41.304;30.96;-0.374609806;0
112.69;68.176;47.235;4.087033904;0
41.889;229.062;143.723;-0.507393014;0
16.387;59.649;28.737;1.106754445;0
30.634;35.742;17.185;-0.33475823;0
35.902;69.398;77.606;0.590984199;0
140.67;169.414;101.385;-0.148872572;0
33.407;117.681;60.059;0.026814388;0
35.633;220.372;189.762;0.272272982;0
46.897;265.804;154.215;0.143482693;0
32.878;143.149;191.25;-0.651077912;0
49.223;64.38;89.793;1.963011484;0
75.216;498.493;344.84;0.391340672;0
58.394;409.405;280.97;-0.131610387;0
89.653;192.601;56.014;0.422473131;0
0;98.787;66.89;-0.085045186;0
0;134.767;133.583;0.273824538;0
0;182.465;236.381;-0.121113835;0
0;138.992;96.458;-0.030629112;0
0;194.204;139.527;-0.061455129;0
24.385;70.181;36.939;-0.05952381;0
1.117;3.792;1.701;0.69007211;0
1.016;3.795;3.644;0.354362157;0
0.762;2.505;1.339;-0.030942969;0
0.817;0.659;0.762;-0.257321671;0
1.007;-1.327;0.289;-0.34154895;0
1.805;2.689;-0.528;1.4413999;0
0.196;2.589;1.49;3.363839286;0
2.468;1.428;-1.332;-0.177160481;0
2.856;1.507;-0.724;-0.104794454;0
1.019;1.643;1.711;0.10713301;0
1.527;2.732;1.811;0.590909091;0
1.876;1.751;0.093;-0.266306387;0
1.2;2.694;2.214;-0.444050992;0
0.243;0.725;0.477;-0.324840764;0
0.23;2.973;2.964;0.322775765;0
0.23;1.742;1.19;-0.088845356;0
7.328;-3.15;-4.829;-0.285934731;0
6.022;-4.964;-0.224;-0.827956388;0
7.933;4.895;-0.032;3.777426064;0
3.568;2.373;0.511;-0.089537243;0
3.865;1.882;1.524;-0.047917913;0
0.763;2.323;2.194;0.213833911;0
0;70.506;82.818;0.404250949;0
134.555;102.921;94.03;0.434629037;0
154.763;107.909;103.136;-0.330513777;0
78.081;92.14;83.149;0.724249387;0
22.661;75.238;43;-0.171757091;0
16.9;50.008;10.291;0.146399819;0
80.2;45.88;7.245;-0.020910798;0
0;-97.029;1.759;-0.902300356;0
0;-1.402;33.402;0.406795816;0
0;-2.256;-18.925;-0.492741474;0
0;-44.037;-55.425;-0.84832413;0
0;-4.778;-8.672;-0.644623757;0
0;-3.473;-4.312;-0.060282685;0
1.339;-3.135;2.651;3.954484923;0
1.612;-1.621;0.15;-0.410699952;0
1.111;-1.12;3.361;0.044589748;0
0.805;-2.238;0.011;1.396648613;0
1.123;-2.475;-1.229;-0.825105913;0
0;15.083;-4.179;1.017719287;0
0;21.345;13.112;0.859361846;0
0;6.863;10.721;-0.179662607;0
0;77.961;49.525;0.160806614;0
0;83.251;82.98;0.633504854;0
0;260.823;226.252;1.581708881;0
9.706;202.844;229.189;0.558665787;0
9.878;96.216;118.081;0.021450041;0
11.955;205.38;115.106;0.064357131;0
10.592;605.015;483.47;0.530055157;0
11.068;-449.67;663.462;-0.520589687;0
12.955;792.484;696.007;0.455291349;0
12.035;223.108;438.296;-0.491735286;0
74.324;734.134;668.324;0.162005375;0
24.04;782.811;616.238;0.072676287;0
135.431;976.742;778.617;0.651878949;0
3.412;928.248;767.557;0.135129486;0
0.897;3.086;1.831;-0.66836254;0
5.13;-2.458;2.618;0.003947368;0
11.425;39.033;27.708;1.060710135;0
2.103;37.677;12.35;-0.267978632;0
3.428;45.883;25.759;0.51989435;0
3.31;59.332;19.859;0.223672287;0
5.973;71.435;16.838;0.720049377;0
2.969;86.757;48.611;0.435454958;0
8.769;83.095;55.064;-0.302017052;0
120.8;811.9;599.2;0.333523198;0
234.6;807.2;584.4;-0.120706136;0
321;840.4;751;0.198598982;0
487;958;718;0.098004204;0
456;978;756;0.105818926;0
176.4;1160.3;1033.3;0.415269451;0
423.2;1319.6;973.7;-0.309474939;0
880.6;1266.4;1088.9;-0.009488681;0
429.2;1427.2;1174;0.237557283;0
487.4;1393.9;1084;0.077889986;0
368.7;1342.9;1063.9;0.104436486;0
378;1360.4;1036;0.08774116;0
310.1;1553;1085.9;0.229458349;0
499.8;1683.9;1375.8;-0.003431736;0
623.9;1776.5;1346.2;0.178450907;0
700.7;2178.8;1497.4;0.46010661;0
451.4;2359.5;1679.6;-0.318994148;0
785.9;1994.5;1322.9;0.143136358;0
468.5;2306.4;1522.4;0.080393519;0
634.7;2501.9;1753.2;-0.093483969;0
707.7;2330.4;1798.7;0.094689322;0
1217.3;2415.3;1567.4;0.280767514;0
1294;2560.6;2187.1;0.235195717;0
1929.9;2806.7;2437.8;-0.011619538;0
1307.1;3066.3;2627.5;0.189297661;0
560.4;2526.6;1567.9;0.010458044;0
0.366;1.709;1.344;-0.036096429;0
0.154;2.776;1.905;0.657309338;0
0.005;2.72;1.693;0.647834275;0
0.005;2.905;3.047;-0.128396806;0
0.006;2.743;1.778;-0.018526439;0
0;2.36;1.262;-0.148761468;0
0.972;3.827;-0.759;2.945896427;0
3.951;1.596;-1.528;-0.726233885;0
4.053;1.897;0.263;-0.043212571;0
0.7;3.343;-1.129;0.128258603;0
0.692;3.041;2.891;-0.118853974;0
0.113;1.042;2.317;-0.597142857;0
0.095;3.96;2.205;2.707808709;0
0.191;4.102;3.273;2.2465898;0
5.355;3.841;0.53;-0.346620451;0
0.133;4.492;2.463;-0.336128526;0
0.121;5.525;0.277;0.161906168;0
0.463;7.104;6.852;-0.404972433;0
0.014;5.849;5.509;0.998762376;0
0.008;3.702;-4.517;-0.175429825;0
0;2.33;0.752;0.022215335;0
0;3.265;4.362;-0.005340314;0
0;3.361;-0.555;0.226427673;0
0;3.405;7.972;1.048597147;0
1.859;7.392;3.215;-0.017886179;0
0.025;0.107;-7.554;-0.281236432;0
5.607;137.132;105.198;-0.224933626;0
5.85;204.794;179.668;0.903294454;0
6.018;226.638;178.158;-0.368261459;0
5.79;213.343;156.759;0.305716896;0
0.353;246.563;196.411;-0.112779604;0
0.381;395.1;345.252;2.112688249;0
0.41;418.993;345.003;0.12409386;0
0.442;369.437;258.918;-0.385352512;0
0.477;249.024;414.054;-0.562735162;0
107.41;185.924;287.43;0.524192136;0
10.372;252.343;206.823;0.005983172;0
68.44;2.98;20.234;-0.235760323;0
55.575;69.106;48.457;-0.143104463;0
97.005;152.543;144.133;0.066563371;0
105.6;168.5;125.5;0.096672886;0
71.1;182;222.9;0.379001389;0
28.7;240.5;205.2;1.330672753;0
27.2;325.5;310.2;0.637921355;0
66.5;335.7;330.1;-0.200554307;0
66.7;174.2;265;-0.151549736;0
43.2;96.4;286.5;-0.019223773;0
48.6;105.9;124.5;-0.254723661;0
206.7;193.3;355.2;0.269425654;0
